Date,Open,High,Low,Close,Volume,RT
6/12/26,717.61,724.01,711.28,721.34,49803808,1.47
6/15/26,738.1,744.76,737.38,744.0,45976556,1.57
6/16/26,742.25,744.22,729.64,729.86,44708320,1.49
6/17/26,735.19,735.68,720.85,722.51,49397796,1.45
6/18/26,737.2,741.82,732.51,740.62,49291408,1.55
6/22/26,742.02,745.45,734.39,737.95,41264192,1.52
6/23/26,715.74,723.61,712.11,713.65,52003692,1.31
6/24/26,715.37,719.93,704.45,710.62,47740680,1.29
6/25/26,725.9,726.83,705.3,716.38,48613708,1.32
6/26/26,707.09,715.55,702.81,707.81,37760900,1.28
