Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
4/8/26,79.061,0.93,,,0.617,G,Y,Y,0.98,UpDn
4/9/26,79.373,0.93,,,0.693,G,Y,Y,1.04,UpUp
4/10/26,79.093,0.93,,,0.667,Y,Y,Y,1.04,UpUp
4/13/26,80.034,0.94,,,0.757,G,Y,Y,1.11,UpUp
4/14/26,80.668,0.97,,,1.131,G,Y,G,1.2,C/Up
4/15/26,80.657,0.99,,,1.249,Y,Y,G,1.25,UpUp
4/16/26,80.78,1.0,,,1.324,G,Y,G,1.29,UpUp
4/17/26,82.108,1.03,,,1.773,G,G,G,1.43,UpUp
4/20/26,82.315,1.01,,,1.651,G,Y,Y,1.47,UpUp
4/21/26,81.609,0.998,22.1,16.4,1.348,Y,Y,Y,1.391,UpUp
