Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
5/4/26,81.534,1.0,,,1.221,R,Y,Y,1.22,DnUp
5/5/26,82.517,1.02,,,1.555,Y,G,G,1.3,UpUp
5/6/26,83.639,1.05,,,1.937,G,G,G,1.44,UpUp
5/7/26,82.763,1.03,,,1.636,Y,Y,Y,1.41,UpUp
5/8/26,83.268,1.03,,,1.643,G,Y,Y,1.42,UpUp
5/11/26,83.355,1.02,,,1.475,Y,Y,Y,1.4,UpUp
5/12/26,82.724,1.01,,,1.365,Y,Y,Y,1.34,UpUp
5/13/26,82.795,1.01,,,1.268,Y,Y,Y,1.3,DnUp
5/14/26,83.099,1.01,,,1.326,G,Y,Y,1.3,UpUp
5/15/26,81.659,0.964,21.0,23.2,0.904,Y,R,R,1.182,DnUp
