Date,Open,High,Low,Close,Volume,RT
8/27/26,716.93,721.35,714.525,721.11,28443052,1.16
8/28/26,719.74,724.125,715.085,716.43,33574584,1.14
8/31/26,715.17,717.58,713.16,716.76,31883752,1.14
9/1/26,707.39,712.3,704.66,707.64,33293724,1.1
9/2/26,707.1,709.799,705.1,709.24,22660784,1.11
9/3/26,710.85,718.915,709.69,717.67,28873520,1.15
9/4/26,719.345,721.86,716.56,718.96,32366850,1.15
9/8/26,720.909,721.886,715.57,718.36,27267604,1.14
9/9/26,716.4,719.7,714.02,716.31,26405228,1.14
9/10/26,707.565,712.06,706.855,708.48,28311259,1.1
