Date,Open,High,Low,Close,Volume,RT
7/28/26,676.23,679.4,667.88,675.49,49675488,0.93
7/29/26,675.505,680.05,661.14,661.73,54692968,0.89
7/30/26,674.76,685.12,673.3,683.55,65000768,0.99
7/31/26,692.11,695.77,680.051,687.99,50028420,1.01
8/3/26,688.3,701.59,685.82,700.07,44351312,1.05
8/4/26,708.16,725.66,707.53,723.85,58988820,1.17
8/5/26,726.25,728.54,716.92,717.3,32662388,1.13
8/6/26,710.82,719.32,708.5,714.65,31568452,1.12
8/7/26,720.15,723.63,716.51,723.03,30537674,1.16
8/10/26,722.65,724.67,720.33,720.87,24421563,1.13
