Date,Open,High,Low,Close,Volume,RT
5/27/26,732.96,733.32,725.44,729.45,33945744,1.54
5/28/26,729.73,736.6,726.41,735.6,31927248,1.57
5/29/26,737.84,741.63,735.25,738.31,38798316,1.58
6/1/26,737.04,745.65,735.99,742.74,32435218,1.56
6/2/26,742.46,746.44,739.23,746.16,28237100,1.57
6/3/26,747.31,748.65,741.01,744.21,37748172,1.56
6/4/26,735.48,743.499,732.62,740.61,38919640,1.54
6/5/26,730.06,731.69,704.32,705.06,93349048,1.34
6/8/26,717.81,723.03,713.07,716.07,46395664,1.44
6/9/26,722.97,725.66,686.37,707.92,86102658,1.4
