Date,Open,High,Low,Close,Volume,RT
8/19/26,73.37,73.7,71.0,72.06,47669432,1.09
8/20/26,70.83,71.688,69.76,70.48,56073392,1.01
8/21/26,71.7,71.83,69.91,71.17,47278064,1.05
8/24/26,70.0,70.05,67.93,69.01,45079760,0.98
8/25/26,70.42,71.27,69.35,70.27,43552876,1.08
8/26/26,69.56,70.94,69.44,70.47,37176080,1.09
8/27/26,72.085,73.38,71.375,73.3,48093520,1.23
8/28/26,72.85,74.18,71.43,71.85,57605816,1.16
8/31/26,71.439,72.15,70.823,71.92,41775672,1.16
9/1/26,69.062,70.545,68.2501,69.1399,55088045,1.03
