Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
4/13/26,80.034,0.94,,,0.757,G,Y,Y,1.11,UpUp
4/14/26,80.668,0.97,,,1.131,G,Y,G,1.2,C/Up
4/15/26,80.657,0.99,,,1.249,Y,Y,G,1.25,UpUp
4/16/26,80.78,1.0,,,1.324,G,Y,G,1.29,UpUp
4/17/26,82.108,1.03,,,1.773,G,G,G,1.43,UpUp
4/20/26,82.315,1.01,,,1.651,G,Y,Y,1.47,UpUp
4/21/26,81.587,1.0,,,1.339,Y,Y,Y,1.39,UpUp
4/22/26,81.898,1.02,,,1.515,G,G,G,1.38,UpUp
4/23/26,81.556,0.99,,,1.178,Y,R,Y,1.31,UpUp
4/24/26,81.79,1.0,,,1.209,Y,Y,Y,1.29,DnUp
