Date,Open,High,Low,Close,Volume,RT
8/3/26,688.3,701.59,685.82,700.07,44351312,1.05
8/4/26,708.16,725.66,707.53,723.85,58988820,1.17
8/5/26,726.25,728.54,716.92,717.3,32662388,1.13
8/6/26,710.82,719.32,708.5,714.65,31568452,1.12
8/7/26,720.15,723.63,716.51,723.03,30537674,1.16
8/10/26,722.39,724.67,720.33,720.87,24910490,1.13
8/11/26,723.29,723.35,715.5,718.45,28969240,1.12
8/12/26,727.08,727.25,722.92,723.7,28824616,1.14
8/13/26,725.15,733.96,724.03,732.07,31032412,1.18
8/14/26,733.26,734.39,728.32,730.94,21464797,1.18
